Project,class,Comment,Comment size,Intent(who I am),Responsibilities(What I do and What I know),Collaborators,Key messages,Key implementation points,Instance variables,Reference to other resources (other class(es)/documentation),Subclasses Explanation,Class references,Example,To do comments,Coding guidlines,Warnings/ Note,Discourse,Links,Extension,Recommendations,Observations,Precondition,Dependencies,License/ copyright information,Other,Class,Intent,Responsibilities,ReferenceToOtherResources,Todo comments,Warnings,Extensions,Preconditions,License/copyright
GToolkit,GtGraphForceBasedLayout,"A ROForceBasedLayout is inspired from the Code of D3. The original d3 version may be found on: http://bl.ocks.org/mbostock/4062045

Layout algorithm inspired by Tim Dwyer and Thomas Jakobsen.

Instance Variables
        alpha:                <Object>
        center:                <Object>
        charge:                <Object>
        charges:                <Object>
        fixedNodes:                <Object>
        friction:                <Object>
        gravity:                <Object>
        layoutInitial:                <Object>
        length:                <Object>
        lengths:                <Object>
        nodes:                <Object>
        oldPositions:                <Object>
        strength:                <Object>
        strengths:                <Object>
        theta:                <Object>
        weights:                <Object>

alpha
        - xxxxx

center
        - xxxxx

charge
        - xxxxx

charges
        - xxxxx

fixedNodes
        - xxxxx

friction
        - xxxxx

gravity
        - xxxxx

layoutInitial
        - xxxxx

length
        - xxxxx

lengths
        - xxxxx

nodes
        - xxxxx

oldPositions
        - xxxxx

strength
        - xxxxx

strengths
        - xxxxx

theta
        - xxxxx

weights
        - xxxxx",10-113,,,,,,"Instance Variables
        alpha:                <Object>
        center:                <Object>
        charge:                <Object>
        charges:                <Object>
        fixedNodes:                <Object>
        friction:                <Object>
        gravity:                <Object>
        layoutInitial:                <Object>
        length:                <Object>
        lengths:                <Object>
        nodes:                <Object>
        oldPositions:                <Object>
        strength:                <Object>
        strengths:                <Object>
        theta:                <Object>
        weights:                <Object>

alpha
        - xxxxx

center
        - xxxxx

charge
        - xxxxx

charges
        - xxxxx

fixedNodes
        - xxxxx

friction
        - xxxxx

gravity
        - xxxxx

layoutInitial
        - xxxxx

length
        - xxxxx

lengths
        - xxxxx

nodes
        - xxxxx

oldPositions
        - xxxxx

strength
        - xxxxx

strengths
        - xxxxx

theta
        - xxxxx

weights
        - xxxxx",,,,,,,,, The original d3 version may be found on: http://bl.ocks.org/mbostock/4062045,,,,,,,,,A ROForceBasedLayout is inspired from the Code of D3. ,,"The original d3 version may be found on: http://bl.ocks.org/mbostock/4062045

Layout algorithm inspired by Tim Dwyer and Thomas Jakobsen.
",,,,,Layout algorithm inspired by Tim Dwyer and Thomas Jakobsen.
GToolkit,XdDocumentsExamples,"!! How-To Create Base64 String

[[[
| aDocument anXdFile |
aDocument := Gt2DocumentExamples new documentWithExistingClass.
anXdFile := aDocument saveToXDoc.
ZnBase64Encoder new 
        breakLines;
        encode: anXdFile streamingStrategy bytes 
]]]",10-113,,,,,,,,,,"!! How-To Create Base64 String

[[[
| aDocument anXdFile |
aDocument := Gt2DocumentExamples new documentWithExistingClass.
anXdFile := aDocument saveToXDoc.
ZnBase64Encoder new 
        breakLines;
        encode: anXdFile streamingStrategy bytes 
]]]",,,,,,,,,,,,,,,,,,,,,
GToolkit,BlMatrixDecomposition,"I represent a matrix decomposition in components.

For example in case of 2D matrix they are:
        - translation
        - scale
        - rotation angle
        - top left 2x2 minor of original matrix
        
3D (4x4) matrices are decomposed as follows:
        - translation
        - scale
        - skew
        - perspective
        - quaternion",10-113,,,,,"
For example in case of 2D matrix they are:
	- translation
	- scale
	- rotation angle
	- top left 2x2 minor of original matrix
	
3D (4x4) matrices are decomposed as follows:
	- translation
	- scale
	- skew
	- perspective
	- quaternion""",,,,,,,,,,,,,,,,,,,"""I represent a matrix decomposition in components.",,,,,,,
GToolkit,BrGlamorousIcons,"I am a Glamorous icons container. You can import new icons using ${method:name=BrGlamorousIcons class>>#importIconsFromDirectory:}$ using the script below. It imports all ==PNG== files and creates class methods with the same name.

[[[
BrGlamorousIcons importIconsFromDirectory: './gt-icons' asFileReference
]]]

Here is a list of available icons:

${class:BrGlamorousIcons|show=gtIconsFor:|expanded=}$

",10-113,,,,"
Here is a list of available icons:

${class:BrGlamorousIcons|show=gtIconsFor:|expanded=}$",You can import new icons using ${method:name=BrGlamorousIcons class>>#importIconsFromDirectory:}$ using the script below.,,,,,It imports all ==PNG== files and creates class methods with the same name. [[[ BrGlamorousIcons importIconsFromDirectory: './gt-icons' asFileReference ]]],,PNG,,,,,,,,,,,,"""I am a Glamorous icons container. ","You can import new icons using ${method:name=BrGlamorousIcons class>>#importIconsFromDirectory:}$ using the script below. It imports all ==PNG== files and creates class methods with the same name.
",,,,,,
GToolkit,TSpartaCompositeFilter,"I am a composite filter and can have an arbitrary amount of input soures

https://www.w3.org/TR/SVG/filters.html#feCompositeElement

Example:

        ""Merge"" filter primitive is just a composite filter with OVER composion mode.

        merge := canvas compositeFilter
                over;
                source: filter1;
                source:filter2;
                source: filter3;
                source: filter4
                ...",10-113,,,,,,,,,,"Example:

        ""Merge"" filter primitive is just a composite filter with OVER composion mode.

        merge := canvas compositeFilter
                over;
                source: filter1;
                source:filter2;
                source: filter3;
                source: filter4
                ...",,,,,https://www.w3.org/TR/SVG/filters.html#feCompositeElement,,,,,,,,,I am a composite filter and can have an arbitrary amount of input soures,,"
https://www.w3.org/TR/SVG/filters.html#feCompositeElement

",,,,,
GToolkit,BlHandlerRegistry,"I am an event handler registry used by dispatchers in order to manage event handlers.

Example:
[[[
| registry |
""one can use announcer based registry""
registry := BlHandlerAnnouncerRegistry new.
""or registry based on plain array""
registry := BlHandlerArrayRegistry new.
registry add: (BlEventHandler on: BlClickEvent do: [ self inform: 'Click' ] ).
registry add: (BlEventHandler on: BlMouseDownEvent do: [ self inform: 'Mouse down' ] ).
registry add: (BlEventHandler on: BlMouseUpEvent do: [ self inform: 'Mouse up' ] ).
registry dispatchEvent: BlClickEvent new.
registry dispatchEvent: BlMouseDownEvent new.
registry dispatchEvent: BlMouseUpEvent new.
]]]",10-113,,,,,,,,,,"
Example:
[[[
| registry |
""""one can use announcer based registry""""
registry := BlHandlerAnnouncerRegistry new.
""""or registry based on plain array""""
registry := BlHandlerArrayRegistry new.
registry add: (BlEventHandler on: BlClickEvent do: [ self inform: 'Click' ] ).
registry add: (BlEventHandler on: BlMouseDownEvent do: [ self inform: 'Mouse down' ] ).
registry add: (BlEventHandler on: BlMouseUpEvent do: [ self inform: 'Mouse up' ] ).
registry dispatchEvent: BlClickEvent new.
registry dispatchEvent: BlMouseDownEvent new.
registry dispatchEvent: BlMouseUpEvent new.
]]]""",,,,,,,,,,,,,,"""I am an event handler registry used by dispatchers in order to manage event handlers.","""I am an event handler registry used by dispatchers in order to manage event handlers.",,,,,,
GToolkit,GtRemoteInspector,"GtRemoteInspector provides a mechanism for remote viewing of objects over a REST/JSON API.

Public API and Key Messages

- message one   
- message two 
- (for bonus points) how to create instances.

   One simple example is simply gorgeous.
 
Internal Representation and Key Implementation Points.

    Instance Variables
        namedObjects:                <Object>


    Implementation Points",10-113,,,,"
Public API and Key Messages

- message one   
- message two 
- (for bonus points) how to create instances.",,"
 
Internal Representation and Key Implementation Points.

    Instance Variables
        namedObjects:                <Object>

",,,,,,,,,,,,,,,,,,,GtRemoteInspector provides a mechanism for remote viewing of objects over a REST/JSON API.,,,,,,
GToolkit,BlChildrenSubset,"I capture a subset of children from a ${class:BlElement}$ instance.

I am an abstract class. My subclasses define the actual order and criteria for filtering children and iterating over the set of children.
I exist to explicitly capture and combine various ways of filtering and iterating over children. For example, ${class:BlChildrenReversed}$ indicates that the user wants to explicitly iterate over elements in reverse order; ${class:BlChildrenAccountedByLayout}$ indicates that only should children taken into account by layout should be included. 
The example below shows a scenario of combining multiple ways to iterate over children. By having an explicit object for each operation, the composition of operations can be inspected.
${example:BlChildrenSubsetExamples>>#childrenWithMultipleCombinedSubsets}$

I do not enforce a lazy API. Subclasses can perform the filtering immediately or when iteration over children is required. I aim to maintain the composition of subsets while optimizing for speed whenever possible.

!!API
Instances of me are created by calling the factory method ${method:BlChildrenSubset class>>#on:}$ on a subclass with an instance of ${class:BlChildren}$ as parameter.

Subclasses need to override the method ${method:BlChildrenSubset>>#subsetFrom:}$ to filter the elements from the given ${class:BlChildren}$ instance. This can perform no filtering, filter elements, or also change the order of elements.

!! Implementation details
Internally the result of ${method:BlChildrenSubset>>#subsetFrom:}$ is stored into an instance variable. This result is then used when accessing or iterating over elements. This decision was taken to allow iterators to perform work when the iterator is created and ensure a faster iteration.

To preserve the composition of iterators I hold a reference to the initial ${class:BlChildren}$ instance.",10-113,,,,"!!API
Instances of me are created by calling the factory method ${method:BlChildrenSubset class>>#on:}$ on a subclass with an instance of ${class:BlChildren}$ as parameter.
","!! Implementation details
Internally the result of ${method:BlChildrenSubset>>#subsetFrom:}$ is stored into an instance variable. This result is then used when accessing or iterating over elements. This decision was taken to allow iterators to perform work when the iterator is created and ensure a faster iteration.","
!!API
Instances of me are created by calling the factory method ${method:BlChildrenSubset class>>#on:}$ on a subclass with an instance of ${class:BlChildren}$ as parameter.

To preserve the composition of iterators I hold a reference to the initial ${class:BlChildren}$ instance.""",,"My subclasses define the actual order and criteria for filtering children and iterating over the set of children.  
I do not enforce a lazy API. Subclasses can perform the filtering immediately or when iteration over children is required. I aim to maintain the composition of subsets while optimizing for speed whenever possible.


Subclasses need to override the method ${method:BlChildrenSubset>>#subsetFrom:}$ to filter the elements from the given ${class:BlChildren}$ instance. This can perform no filtering, filter elements, or also change the order of elements.
",,"For example, ${class:BlChildrenReversed}$ indicates that the user wants to explicitly iterate over elements in reverse order; ${class:BlChildrenAccountedByLayout}$ indicates that only should children taken into account by layout should be included. 
The example below shows a scenario of combining multiple ways to iterate over children. By having an explicit object for each operation, the composition of operations can be inspected.
${example:BlChildrenSubsetExamples>>#childrenWithMultipleCombinedSubsets}$",,,,,,,,,,,,,,"

I am an abstract class."," ""I capture a subset of children from a ${class:BlElement}$ instance. 
I exist to explicitly capture and combine various ways of filtering and iterating over children. ",,,,,,
GToolkit,BlGridLayoutArc,"I represent an association of span interval, associated value and validity flag.

I am used by grid layout instead of Dictionary of span <-> value key-value pair for performance reasons. 

Internal Representation and Key Implementation Points.

Instance Variables
        span:                <BlGridLayoutInterval>
        valid:                <Boolean>
        value:                <BlGridMutableInteger>",10-113,,,,,,"
Instance Variables
        span:                <BlGridLayoutInterval>
        valid:                <Boolean>
        value:                <BlGridMutableInteger>""",,,,,,,,,,,,,,,,,,"""I represent an association of span interval, associated value and validity flag.","
I am used by grid layout instead of Dictionary of span <-> value key-value pair for performance reasons. ",,,,,,
GToolkit,BlChildrenCollection,"I am an abstract collection of bloc elements that can be mutated. I am used by a ${class:BlElement}$ to store its children.

I provide a data structure independent API for adding and removing children. I assume an index-based way of working with children. My subclasses wrap concrete data structures for storing the actual children. Bloc elements work with children only in terms of the API that I provide. Hence, I only provide a minimum API needed to work with children, instead of the full collection API.

I allow elements to optimize working with children for different scenarious. For example, an array for storing children optimises for accessing fast accesses at any position. A linked list optimize for fast adding and removing. A rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory.

!!API

The following subclasses can be used to store children: 
- ${class:BlChildrenArray}$: stores children using an ${class:Array}$ 
- ${class:BlChildrenLinkedList}$: stores children using a ${class:LinkedList}$  
- ${class:BlChildrenOrderedCollection}$: stores children using a ${class:OrderedCollection}$
- ${class:BlChildrenRope}$: stores children using a ${class:BlCollectionRope}$

Subclasses need to provide the implementation for methods adding and removing children.",10-113,,, I am used by a ${class:BlElement}$ to store its children. ,,,,,"My subclasses wrap concrete data structures for storing the actual children. Bloc elements work with children only in terms of the API that I provide. Hence, I only provide a minimum API needed to work with children, instead of the full collection API.

Subclasses need to provide the implementation for methods adding and removing children."" 
!!API

The following subclasses can be used to store children: 
- ${class:BlChildrenArray}$: stores children using an ${class:Array}$ 
- ${class:BlChildrenLinkedList}$: stores children using a ${class:LinkedList}$  
- ${class:BlChildrenOrderedCollection}$: stores children using a ${class:OrderedCollection}$
- ${class:BlChildrenRope}$: stores children using a ${class:BlCollectionRope}$","${class:BlElement}$
${class:BlChildrenArray}$
${class:Array}$ 
${class:BlChildrenLinkedList}$
${class:LinkedList}$
${class:BlChildrenOrderedCollection}$
${class:OrderedCollection}$
${class:BlChildrenRope}$
${class:BlCollectionRope}$",,,,,,,,,,,,,,,"""I am an abstract collection of bloc elements that can be mutated."," I provide a data structure independent API for adding and removing children. I assume an index-based way of working with children. 

I allow elements to optimize working with children for different scenarious. For example, an array for storing children optimises for accessing fast accesses at any position. A linked list optimize for fast adding and removing. A rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory.
",,,,,,
GToolkit,BlElementRemovedEvent,"Is sent by an element after it is removed from the parent.

Note: I am not sent when element is detached!

Example:

[[[
| child parent |

child := BlElement new.
child when: BlElementRemovedEvent do: [ self inform: 'Removed from parent' ].

parent := BlElement new.
parent addChild: child.
parent removeChild: child
]]]",10-113,,,Is sent by an element after it is removed from the parent.,,,,,,,"
Example:

[[[
| child parent |

child := BlElement new.
child when: BlElementRemovedEvent do: [ self inform: 'Removed from parent' ].

parent := BlElement new.
parent addChild: child.
parent removeChild: child
]]]",,,,,,,,,,,,,,,,,,"
Note: I am not sent when element is detached!",,,
GToolkit,BlGridLayout,"I layout elements in a rectangular grid.

All children of an element with GridLayout must use GridConstraints that allows users to configure how children are located within grid independently. 

A grid consists of cells that are separated by invisible lines. Each line is assigned to an index, meaning that a grid with N columns would have N+1 line. Indices lie in closed interval [ 1, N + 1 ]. 

Grid Layout supports fitContent, matchParent and exact resizing mode of the owner. Children are allowed to have fitContent and exact resizing modes. Because child's matchParent does not make sense in case of grid users should use #fill to declare that child should take all available cell's space.

By default grid layout does not specify how many columns and rows exist, instead it tries to compute necessary amount of columns or rows depending on amount of children. User can specify amount of columns or rows by sending columnCount: or rowCount: to an instance of grid layout.

Grid Layout supports spacing between cells which can be set sending cellSpacing: message.

Public API and Key Messages

- columnCount: aNumber to specify amount of columns
- rowCount: aNumber to specify amount of rows
- cellSpacing: aNumber to specify spacing between cells
- alignMargins  bounds of each element are extended outwards, according to their margins, before the edges of the resulting rectangle are aligned.
- alignBounds  alignment is made between the edges of each component's raw bounds

   BlGridLayout new
        columnCount: 2;
        rowCount: 3;
        cellSpacing: 10;
        alignMargins
 
Internal Representation and Key Implementation Points.

    Instance Variables
        alignmentMode:                <BlGridAlignmentMode>
        cellSpacing:                <Number>
        horizontalAxis:                <BlGridLayoutAxis>
        lastLayoutParamsHashCode:                <Number>
        orientation:                <BlGridOrientation>
        verticalAxis:                <BlGridLayoutAxis>


    Implementation Points",10-113,,,,"Public API and Key Messages

- columnCount: aNumber to specify amount of columns
- rowCount: aNumber to specify amount of rows
- cellSpacing: aNumber to specify spacing between cells
- alignMargins  bounds of each element are extended outwards, according to their margins, before the edges of the resulting rectangle are aligned.
- alignBounds  alignment is made between the edges of each component's raw bounds","
All children of an element with GridLayout must use GridConstraints that allows users to configure how children are located within grid independently. 

A grid consists of cells that are separated by invisible lines. Each line is assigned to an index, meaning that a grid with N columns would have N+1 line. Indices lie in closed interval [ 1, N + 1 ]. 

Grid Layout supports fitContent, matchParent and exact resizing mode of the owner. Children are allowed to have fitContent and exact resizing modes. Because child's matchParent does not make sense in case of grid users should use #fill to declare that child should take all available cell's space.

By default grid layout does not specify how many columns and rows exist, instead it tries to compute necessary amount of columns or rows depending on amount of children. User can specify amount of columns or rows by sending columnCount: or rowCount: to an instance of grid layout.

Grid Layout supports spacing between cells which can be set sending cellSpacing: message.

Internal Representation and Key Implementation Points.

    Implementation Points","    Instance Variables
        alignmentMode:                <BlGridAlignmentMode>
        cellSpacing:                <Number>
        horizontalAxis:                <BlGridLayoutAxis>
        lastLayoutParamsHashCode:                <Number>
        orientation:                <BlGridOrientation>
        verticalAxis:                <BlGridLayoutAxis>",,,GridConstraints,,,,,,,,,,,,,,,,I layout elements in a rectangular grid.,,,,All children of an element with GridLayout must use GridConstraints that allows users to configure how children are located within grid independently. ,,
GToolkit,SpartaCanvas,"! SpartaCanvas
I represent a Sparta canvas and provide an API to perform various drawing operations.
I define an abstract API of Sparta canvas that all concrete implementations must have.

!! Overview
My main responsibility is to create and provide backend specific builders and various objects.

In order to create and perform a drawing operation users should rely on corresponding builder.
For example if one wants to fill a path with a paint she needs to send #fill message to canvas to get a fill builder (painter).

There is a separate builder for every single operation. They can be found in ""api"" protocol.

I'm also responsible for creation of filter primitives (filter types) that are used with ""filter"" operation.
They can be found in ""filters"" protocol.

I am polymorphic with ==SpartaSurface==.

!! Public API and Key Messages

- ==fill== - create a builder of fill drawing operation  
- ==stroke== - create a builder of stroke drawing operation
- ==path== - create a path builder
- ==paint== - create a paint builder (linear, radial gradients)
- ==clip== - create a builder to clip canvas by path (or rectangle)
- ==transform== - create a builder to transform canvas
- ==font== - create a font build helper
- ==text== - create a text rendering builder
- ==filter== - create a builder of filter drawing operation
- ==mask== - create a builder of masking draw operation
- ==bitmap== - create a bitmap factory
- ==shape== - create a common shapes factory (ellipse, rounded rectangle, etc)
- ==filters== - create a common filters factory

- ==extent== - get my size (width@height)
- ==similar:== - to create an empty canvas of size anExtent and of the same type and format 
- ==asForm== - to rasterize myself and return resulting image as Form

''I am an abstract class and should not be instantiated. However, the best way to create an instance of sparta canvas is to send extent: message.''

!! Example:

Create an empty canvas of size 400@250:
[[[language=smalltalk
canvas := SpartaCanvas extent: 400@250.
]]]
+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/01_empty.png|label=emptyCanvas+


Create a triangle vector path:
[[[language=smalltalk
triangle := canvas path
        moveTo: 100@0;
        lineTo: 200@200;
        lineTo: 0@200;
        close;
        finish.
]]]
+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/02_triangle_path.png|label=trianglePath+

Create a linear gradient:
[[[language=smalltalk
linearGradient := canvas paint linearGradient
        begin: 50@100;
        end: 150@200;
        stops: { 0 -> Color red. 1 -> Color blue }.
]]]

Apply translation to place trangle in the center:
[[[language=smalltalk
canvas transform
        push;
        translateBy: 100@25;
        apply.
]]]

Fill previously created path fith linear gradient:
[[[language=smalltalk
canvas fill
        paint: linearGradient;
        path: triangle;
        draw.
]]]
+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/03_fill_path.png|label=fillPath+

Stroke triangle with blue color:
[[[language=smalltalk
canvas stroke
        paint: Color blue;
        path: triangle;
        width: 6;
        draw.
]]]
+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/04_stroke_path.png|label=strokePath+

Restore transformation matrix:
[[[language=smalltalk
canvas transform pop.
]]]

Create a gaussian blur filter:
[[[language=smalltalk
blur := canvas gaussianBlurFilter
        stdDeviation: 4.
]]]

Apply filter on the whole canvas:
[[[language=smalltalk
canvas filter
        area: canvas bounds;
        type: blue;
        draw.
]]]
+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/05_blur.png|label=blur+",10-113,,,I am polymorphic with ==SpartaSurface==.,"!! Public API and Key Messages

- ==fill== - create a builder of fill drawing operation  
- ==stroke== - create a builder of stroke drawing operation
- ==path== - create a path builder
- ==paint== - create a paint builder (linear, radial gradients)
- ==clip== - create a builder to clip canvas by path (or rectangle)
- ==transform== - create a builder to transform canvas
- ==font== - create a font build helper
- ==text== - create a text rendering builder
- ==filter== - create a builder of filter drawing operation
- ==mask== - create a builder of masking draw operation
- ==bitmap== - create a bitmap factory
- ==shape== - create a common shapes factory (ellipse, rounded rectangle, etc)
- ==filters== - create a common filters factory

- ==extent== - get my size (width@height)
- ==similar:== - to create an empty canvas of size anExtent and of the same type and format 
- ==asForm== - to rasterize myself and return resulting image as Form",,,,, ==SpartaSurface==,"
!! Example:

Create an empty canvas of size 400@250:
[[[language=smalltalk
canvas := SpartaCanvas extent: 400@250.
]]]
+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/01_empty.png|label=emptyCanvas+


Create a triangle vector path:
[[[language=smalltalk
triangle := canvas path
        moveTo: 100@0;
        lineTo: 200@200;
        lineTo: 0@200;
        close;
        finish.
]]]
+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/02_triangle_path.png|label=trianglePath+

Create a linear gradient:
[[[language=smalltalk
linearGradient := canvas paint linearGradient
        begin: 50@100;
        end: 150@200;
        stops: { 0 -> Color red. 1 -> Color blue }.
]]]

Apply translation to place trangle in the center:
[[[language=smalltalk
canvas transform
        push;
        translateBy: 100@25;
        apply.
]]]

Fill previously created path fith linear gradient:
[[[language=smalltalk
canvas fill
        paint: linearGradient;
        path: triangle;
        draw.
]]]
+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/03_fill_path.png|label=fillPath+

Stroke triangle with blue color:
[[[language=smalltalk
canvas stroke
        paint: Color blue;
        path: triangle;
        width: 6;
        draw.
]]]
+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/04_stroke_path.png|label=strokePath+

Restore transformation matrix:
[[[language=smalltalk
canvas transform pop.
]]]

Create a gaussian blur filter:
[[[language=smalltalk
blur := canvas gaussianBlurFilter
        stdDeviation: 4.
]]]

Apply filter on the whole canvas:
[[[language=smalltalk
canvas filter
        area: canvas bounds;
        type: blue;
        draw.
]]]
+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/05_blur.png|label=blur+",,,,,"
+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/01_empty.png|label=emptyCanvas+

+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/02_triangle_path.png|label=trianglePath+

+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/03_fill_path.png|label=fillPath+

+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/04_stroke_path.png|label=strokePath+

+https://github.com/syrel/Sparta/raw/master/images/SpartaCanvas/05_blur.png|label=blur+",,,,,,,,,"! SpartaCanvas
I represent a Sparta canvas and provide an API to perform various drawing operations.","I define an abstract API of Sparta canvas that all concrete implementations must have.

!! Overview
My main responsibility is to create and provide backend specific builders and various objects.

In order to create and perform a drawing operation users should rely on corresponding builder.

There is a separate builder for every single operation. They can be found in ""api"" protocol.

I'm also responsible for creation of filter primitives (filter types) that are used with ""filter"" operation.
They can be found in ""filters"" protocol.",,,"'I am an abstract class and should not be instantiated. However, the best way to create an instance of sparta canvas is to send extent: message.''
",,,
GToolkit,TSpartaPaint,"! TSpartaPaint

I define an API of a Paint. Backend specific paints  should use me and provide concrete implemenations of all my methods.

!! Overview
A paint is transformable and can be used with one of extend modes, for example repeat, reflect or clamp.

I am instantiated by canvas and does not supposed to be created by refering paint class directly.
Sparta canvas provides a paint builder that should be used to build concerete paints.

!! Public API and Key Messages
''I define an api of an abstract paint.''

- ==transformation== - to get current transformation matrix, can not be mil
- ==transformation:== set new paint transformation. If not set, supposed to be identity.
- ==clamp== - do not repeat me
- ==reflect== - mirror the image
- ==repeat== - repeat in both X and Y axis
- ==repeatX== - repeat only X axis
- ==repeatY== - repeat only Y axis
- ==rotateByDegrees:== rotate me by amount of degrees clockwise
- ==rotateByRadians:== rotate me by amount of radians clockwise
- ==scaleBy:== scale me by a factor, a Point or a number.
- ==translateBy:== translate me by a Point or a number
 
!! Internal Representation and Key Implementation Points.

Generally, a Paint is not meant to be an external object, however for additional flexibility I am implemented as a Trait.",10-113,,,"I am instantiated by canvas and does not supposed to be created by refering paint class directly.
Sparta canvas provides a paint builder that should be used to build concerete paints.","!! Public API and Key Messages
''I define an api of an abstract paint.''

- ==transformation== - to get current transformation matrix, can not be mil
- ==transformation:== set new paint transformation. If not set, supposed to be identity.
- ==clamp== - do not repeat me
- ==reflect== - mirror the image
- ==repeat== - repeat in both X and Y axis
- ==repeatX== - repeat only X axis
- ==repeatY== - repeat only Y axis
- ==rotateByDegrees:== rotate me by amount of degrees clockwise
- ==rotateByRadians:== rotate me by amount of radians clockwise
- ==scaleBy:== scale me by a factor, a Point or a number.
- ==translateBy:== translate me by a Point or a number","
!! Internal Representation and Key Implementation Points.

Generally, a Paint is not meant to be an external object, however for additional flexibility I am implemented as a Trait.",,,,,,,,,,,,,,,,,,,,"! TSpartaPaint

I define an API of a Paint.

!! Overview
A paint is transformable and can be used with one of extend modes, for example repeat, reflect or clamp.",,,,Backend specific paints  should use me and provide concrete implemenations of all my methods.,,
GToolkit,GtLibraryInstaller,"I am the installer of shared libraries along side image or vm.
I should be configured by the user for a specific library.

The following example shows how I am configured for Sparta/Moz2D library.

[[[
| installer |
installer := GtLibraryInstaller new.
installer library: 'Moz2D'.
installer version: 'development'.
installer binary: 'libMoz2D'.
installer url: 'https://dl.feenk.com/{library}/{platform}/{version}/{arch}/{binary}.{extension}'.
installer running: [ MozServices isRunning ].
installer works: [ MozLibrary uniqueInstance hasModule ].
installer postInstall: [ MozServices start ].
]]]",10-113,,,,,,,,,,"
The following example shows how I am configured for Sparta/Moz2D library.

[[[
| installer |
installer := GtLibraryInstaller new.
installer library: 'Moz2D'.
installer version: 'development'.
installer binary: 'libMoz2D'.
installer url: 'https://dl.feenk.com/{library}/{platform}/{version}/{arch}/{binary}.{extension}'.
installer running: [ MozServices isRunning ].
installer works: [ MozLibrary uniqueInstance hasModule ].
installer postInstall: [ MozServices start ].
]]]",,,,,,,,,,,,,,I am the installer of shared libraries along side image or vm.,,,,,I should be configured by the user for a specific library.,,
GToolkit,GtDiagrammerPicker,"I am a scriptable toogle group to display a uniform collection of selectable values.

[[[
| picker |
picker := GtDiagrammerPicker new.
picker layout: BlFlowLayout horizontal.
picker display: [ { 'Hello' . 'World' . 'I' . 'am' . 'a' . 'picker' } ].
picker shape: [ :aString | BrToggle new
        look: BrMaterialToggleLabelledLook;
        margin: (BlInsets all: 3);
        label: aString ].
picker constraintsDo: [ :c |
        c horizontal exact: 400.
        c vertical fitContent ].
picker when: BrToggleActivatedEvent do: [ :anEvent | self inform: anEvent model ].
picker
]]]",10-113,,,,,,,,,,"
[[[
| picker |
picker := GtDiagrammerPicker new.
picker layout: BlFlowLayout horizontal.
picker display: [ { 'Hello' . 'World' . 'I' . 'am' . 'a' . 'picker' } ].
picker shape: [ :aString | BrToggle new
        look: BrMaterialToggleLabelledLook;
        margin: (BlInsets all: 3);
        label: aString ].
picker constraintsDo: [ :c |
        c horizontal exact: 400.
        c vertical fitContent ].
picker when: BrToggleActivatedEvent do: [ :anEvent | self inform: anEvent model ].
picker
]]]",,,,,,,,,,,,,,I am a scriptable toogle group to display a uniform collection of selectable values.,,,,,,,
